epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.44,0.94606,3.06735,1.18314,0.00333,0.97297,0.26794,0.17059,1.01316,3.69445,1.10303,0.000592593,0.000592593,0.000592593
2,237.85,0.98322,2.08425,1.09911,0.00324,0.94595,0.22541,0.14082,1.41273,3.9404,1.36272,0.00123848,0.00123848,0.00123848
3,348.627,1.08819,2.28192,1.16236,0.42111,0.13781,0.24137,0.14609,1.56521,4.2281,1.78596,0.00186237,0.00186237,0.00186237
4,469.715,1.13709,2.30052,1.23932,0.12265,0.10811,0.07889,0.04228,1.91034,5.23159,2.03062,0.001901,0.001901,0.001901
5,617.327,1.08996,2.29742,1.19254,0.17829,0.18919,0.14384,0.06948,1.70644,4.64824,1.88742,0.001868,0.001868,0.001868
6,758.502,1.06882,1.99637,1.20396,0.23275,0.18919,0.17818,0.09602,1.89217,4.91533,1.88875,0.001835,0.001835,0.001835
7,1156.11,1.07461,1.8679,1.1832,0.1636,0.2973,0.10316,0.05395,1.74484,5.05294,1.90299,0.001802,0.001802,0.001802
8,1502.68,1.0505,1.85263,1.18137,0.47363,0.35135,0.31327,0.18115,1.77492,5.76824,1.86507,0.001769,0.001769,0.001769
9,1661.86,1.00871,1.65322,1.15214,0.2713,0.51351,0.4309,0.23285,1.47938,11.2161,1.67963,0.001736,0.001736,0.001736
10,1823.05,0.96671,1.57715,1.11829,0.07083,0.48649,0.23197,0.10008,1.58171,24.9069,1.89738,0.001703,0.001703,0.001703
11,1999.49,0.91193,1.45488,1.08892,0.15341,0.54054,0.40859,0.20926,1.59829,16.0165,1.61711,0.00167,0.00167,0.00167
12,2164.14,0.94682,1.50948,1.12767,0.14694,0.51351,0.33553,0.16651,1.7995,18.5608,1.81268,0.001637,0.001637,0.001637
13,2302.07,0.93877,1.53455,1.1152,0.4926,0.49872,0.48563,0.22401,2.07808,3.1962,1.85991,0.001604,0.001604,0.001604
14,2428.78,0.9036,1.36709,1.07311,0.49068,0.67701,0.52321,0.31547,1.56651,2.97478,1.56776,0.001571,0.001571,0.001571
15,2592.41,0.96476,1.29038,1.137,0.45302,0.45946,0.4327,0.25714,1.70355,3.14905,1.69388,0.001538,0.001538,0.001538
16,2769.28,0.87245,1.21005,1.09362,0.54306,0.40541,0.40107,0.2011,1.92162,3.58806,2.06633,0.001505,0.001505,0.001505
17,2930.49,0.87392,1.21085,1.06776,0.57621,0.5514,0.51497,0.3221,1.63414,2.62311,1.74013,0.001472,0.001472,0.001472
18,3170.35,0.86966,1.18428,1.0675,0.37151,0.24324,0.23536,0.16386,1.38629,4.57376,1.58724,0.001439,0.001439,0.001439
