epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6054,1.02662,4.03361,1.23656,0.00675,0.91209,0.61196,0.3851,0.98226,3.81473,1.01028,0.000509361,0.000509361,0.000509361
2,21.2804,1.12671,3.07316,1.26122,0.94352,0.27539,0.5195,0.32638,1.15095,4.05673,1.27171,0.00095959,0.00095959,0.00095959
3,28.8561,1.08707,2.89588,1.23847,0.77215,0.26374,0.37939,0.22376,1.20268,3.96156,1.34711,0.0012998,0.0012998,0.0012998
4,36.2525,1.14558,2.71102,1.31892,0.11238,0.14609,0.07213,0.0443,1.24526,4.29409,1.44194,0.0011719,0.0011719,0.0011719
5,43.6016,1.07873,2.51294,1.27254,0.53248,0.37363,0.34188,0.22,1.26443,3.84967,1.38056,0.00100687,0.00100687,0.00100687
6,50.0802,1.08118,2.32699,1.24054,0.5056,0.36813,0.41973,0.27237,1.06356,3.47818,1.18338,0.000841835,0.000841835,0.000841835
7,57.1466,1.00914,2.26079,1.22666,0.52544,0.42857,0.39329,0.23273,1.10663,3.29694,1.22943,0.000676802,0.000676802,0.000676802
8,64.0694,0.94692,2.06996,1.19759,0.58884,0.49574,0.52613,0.34034,1.04989,3.16081,1.20929,0.000511769,0.000511769,0.000511769
9,71.1738,0.92935,2.07026,1.15247,0.69682,0.63736,0.67819,0.47596,0.99127,2.77674,1.16722,0.000346736,0.000346736,0.000346736
10,77.9913,0.85706,1.84956,1.11567,0.79024,0.80729,0.84486,0.63741,0.8852,2.26656,1.07218,0.000181703,0.000181703,0.000181703
